Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137344,-,-,-,37.49,-122.42,-8,88,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Dew Point,Wind Speed,Cloud Type
2000,1,1,0,30,9.8,0,0,0,93.9,8.9,3.8000000000000003,8
2000,1,1,1,30,9.700000000000001,0,0,0,94.23,8.8,3.7,4
2000,1,1,2,30,9.8,0,0,0,93.58,8.8,4,3
2000,1,1,3,30,9.9,0,0,0,93.67,8.9,4,3
2000,1,1,4,30,9.8,0,0,0,94.64,9,3.9000000000000004,2
2000,1,1,5,30,9.600000000000001,0,0,0,95.29,8.9,3.6,3
2000,1,1,6,30,9.4,0,0,0,94.5,8.6,3.4000000000000004,3
2000,1,1,7,30,9.600000000000001,0,0,0,91.36,8.3,3.5,4
2000,1,1,8,30,10,15,0,15,88.05,8.1,3.9000000000000004,7
2000,1,1,9,30,10.3,42,0,42,85.67,8,4.4,7
2000,1,1,10,30,10.600000000000001,95,0,95,83.77,8,5.1000000000000005,7
2000,1,1,11,30,10.8,45,0,45,81.84,7.800000000000001,5.5,7
2000,1,1,12,30,11.100000000000001,111,0,111,79.34,7.7,5.9,7
2000,1,1,13,30,11.4,180,35,196,77.05,7.5,6.4,2
2000,1,1,14,30,11.600000000000001,93,0,93,73.87,7.1000000000000005,6.7,2
2000,1,1,15,30,11.600000000000001,66,0,66,70.56,6.4,6.9,2
2000,1,1,16,30,10.700000000000001,23,0,23,75.59,6.6000000000000005,6.9,3
2000,1,1,17,30,10.100000000000001,0,0,0,81.68,7.1000000000000005,6.9,1
2000,1,1,18,30,9.8,0,0,0,85.78,7.5,6.800000000000001,4
2000,1,1,19,30,9.600000000000001,0,0,0,88.76,7.800000000000001,6.5,4
